Date.Day,Date.Month,Date.Year,Data.Cases,Data.Deaths,Location.Country,Location.Code,,Location.Country,Death
1,1,2020,0,0,Luxembourg,LUX,,Mongolia,0
1,1,2020,0,0,Malaysia,MYS,,Panama,2744
1,1,2020,0,0,Mexico,MEX,,Burkina_Faso,67
1,1,2020,0,0,Monaco,MCO,,Democratic_Republic_of_the_Congo,314
1,1,2020,0,0,Nepal,NPL,,Bolivia,8758
1,1,2020,0,0,Netherlands,NLD,,Cote_dIvoire,126
1,1,2020,0,0,New_Zealand,NZL,,Cuba,129
1,1,2020,0,0,Nigeria,NGA,,Honduras,2730
1,1,2020,0,0,North_Macedonia,MKD,,Jamaica,215
1,1,2020,0,0,Norway,NOR,,Turkey,10558
1,1,2020,0,0,Oman,OMN,,Aruba,39
1,1,2020,0,0,Pakistan,PAK,,Curasao,2
1,1,2020,0,0,Philippines,PHL,,Gabon,55
1,1,2020,0,0,Qatar,QAT,,Ghana,320
1,1,2020,0,0,Romania,ROU,,Guyana,130
1,1,2020,0,0,Russia,RUS,,Saint_Vincent_and_the_Grenadines,0
1,1,2020,0,0,San_Marino,SMR,,Trinidad_and_Tobago,110
1,1,2020,0,0,Singapore,SGP,,Ethiopia,1503
1,1,2020,0,0,South_Korea,KOR,,Guinea,73
1,1,2020,0,0,Spain,ESP,,Kenya,1051
1,1,2020,0,0,Sri_Lanka,LKA,,Kosovo,714
1,1,2020,0,0,Sweden,SWE,,Sudan,837
1,1,2020,0,0,Switzerland,CHE,,Antigua_and_Barbuda,3
1,1,2020,0,0,Taiwan,CNG1925,,Equatorial_Guinea,83
1,1,2020,0,0,Thailand,THA,,Eswatini,117
1,1,2020,0,0,United_Arab_Emirates,ARE,,Guatemala,3752
1,1,2020,0,0,United_Kingdom,GBR,,Kazakhstan,2263
1,1,2020,0,0,United_States_of_America,USA,,Mauritania,164
1,1,2020,0,0,Vietnam,VNM,,Namibia,133
2,1,2020,0,0,Afghanistan,AFG,,Rwanda,35
2,1,2020,0,0,Algeria,DZA,,Saint_Lucia,0
2,1,2020,0,0,Armenia,ARM,,Seychelles,0
2,1,2020,0,0,Australia,AUS,,Suriname,112
